/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
10
/*The Depot*/
31.72211530938005 -20.383734992809732 depot
/*The Locations (x_coor y_coor name)*/
40.13758012555382 80.209018155046815 v1
199.1940477020881 4.752478364864648 u2
0.050486787470169956 25.263512891082936 v3
11.52549374093735 10.2483286153591122 u4
51.13758014155382 -20.201018925046815 v1
180.1940477020881 9.752828364864648 u2
10.051586787470969956 45.263512891082936 v3
21.52327482026735 10.2483288702191122 u4
40.1371014155382 8.209018925046815 v1
