/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
50
/*The Depot*/
31.72211530938005 -20.383734992809732 depot
/*The Locations (x_coor y_coor name)*/
-40.13756132012442 -9.296192351646815 v1
199.1906182020881 4.752478364864648 u2
0.050412067470169956 25.263596135082936 v3
211.52327482093735 1.2483286702961122 u4
51.13756132012442 -20.201192351646815 v1
190.2106182020881 9.752828364864648 u2
10.050412067470969956 45.263596135082936 v3
21.52327482026735 10.2483288702961122 u4
40.13756132012442 9.296192351646815 v1
-40.13756132012442 -9.296192345001215 v1
199.1906182020881 4.752478364864648 u2
0.050412067470169956 25.263596135082936 v3
211.52327482093735 1.2483286702961122 u4
51.13756132012442 -20.201192345001215 v1
190.2106182020881 9.752828364864648 u2
10.050412067470969956 45.263596135082936 v3
21.52327482026735 10.2483288702961122 u4
40.13756132012442 9.296192345001215 v1
-40.13756132012442 -9.296192345001215 v1
199.1906182020881 4.752478364864648 u2
0.050412067470169956 25.263596135082936 v3
211.52327482093735 1.2483286702961122 u4
51.13756132012442 -20.201192345001215 v1
190.2106182020881 9.752828364864648 u2
10.050412067470969956 45.263596135082936 v3
21.52327482026735 10.2483288702961122 u4
40.13756132012442 9.296192345001215 v1
-40.13756132012442 -9.296192345001215 v1
199.1906182020881 4.752478364864648 u2
0.050412067470169956 25.263596135082936 v3
211.52327482093735 1.2483286702961122 u4
51.13756132012442 -20.201192345001215 v1
190.2106182020881 9.752828364864648 u2
10.050412067470969956 45.263596135082936 v3
21.52327482026735 10.2483288702961122 u4
40.13756132012442 9.296192345001215 v1
-40.13756132012442 -9.296192345001215 v1
199.1906182020881 4.752478364864648 u2
0.050412067470169956 25.263596135082936 v3
211.52327482093735 1.2483286702961122 u4
51.13756132012442 -20.201192345001215 v1
190.2106182020881 9.752828364864648 u2
10.050412067470969956 45.263596135082936 v3
21.52327482026735 10.2483288702961122 u4
40.13756132012442 9.296192345001215 v1
-40.13756132012442 -9.296192345001215 v1
199.1906182020881 4.752478364864648 u2
0.050412067470169956 25.263596135082936 v3
211.52327482093735 1.2483286702961122 u4









